run_accession	alias	sample_accession	experiment_accession	library_layout
ERR1297832	FAT_020-22-0-0	SAMEA3882538	ERX1369164	PAIRED
ERR1297833	FAT_024-22-2-0	SAMEA3882550	ERX1369165	PAIRED
ERR1297834	FAT_015-22-84-0	SAMEA3882532	ERX1369166	PAIRED
ERR1297835	FAT_024-22-42-0	SAMEA3882551	ERX1369167	PAIRED
ERR1297836	FAT_006-22-0-0	SAMEA3882503	ERX1369168	PAIRED
ERR1297837	FAT_017-22-14-0	SAMEA3882534	ERX1369169	PAIRED
ERR1297838	FAT_010-22-42-0	SAMEA3882516	ERX1369170	PAIRED
ERR1297839	FAT_010-22-84-0	SAMEA3882517	ERX1369171	PAIRED
ERR1297840	FAT_023-22-2-0	SAMEA3882545	ERX1369172	PAIRED
ERR1297841	FAT_014-22-2-0	SAMEA3882525	ERX1369173	PAIRED
ERR1297842	FAT_023-22-0-0	SAMEA3882543	ERX1369174	PAIRED
ERR1297843	FAT_DON_11-22-0-5	SAMEA3882554	ERX1369175	PAIRED
ERR1297844	FAT_024-22-14-0	SAMEA3882549	ERX1369176	PAIRED
ERR1297845	FAT_020-22-84-0	SAMEA3882542	ERX1369177	PAIRED
ERR1297846	FAT_DON_8-22-0-0	SAMEA3882557	ERX1369178	PAIRED
ERR1297847	FAT_024-22-84-0	SAMEA3882552	ERX1369179	PAIRED
ERR1297848	FAT_024-22-2-0	SAMEA3882550	ERX1369180	PAIRED
ERR1297849	FAT_014-22-14-0	SAMEA3882524	ERX1369181	PAIRED
ERR1297850	FAT_DON_19-22-0-0	SAMEA3882556	ERX1369182	PAIRED
ERR1297851	FAT_014-22-0-0	SAMEA3882523	ERX1369183	PAIRED
ERR1297852	FAT_024-22-14-0	SAMEA3882549	ERX1369184	PAIRED
